,nose_x,nose_y,neck_x,neck_y,r_shoulder_x,r_shoulder_y,r_elbow_x,r_elbow_y,r_wrist_x,r_wrist_y,l_shoulder_x,l_shoulder_y,l_elbow_x,l_elbow_y,l_wrist_x,l_wrist_y,r_hip_x,r_hip_y,r_knee_x,r_knee_y,r_ankle_x,r_ankle_y,l_hip_x,l_hip_y,l_knee_x,l_knee_y,l_ankle_x,l_ankle_y
0,736.0,184.0,744.0,212.0,704.0,214.0,688.0,278.0,686.0,342.0,786.0,212.0,810.0,276.0,806.0,282.0,714.0,324.0,688.0,435.99999999999994,672.0,522.0,762.0,326.0,760.0,430.0,758.0,514.0
1,736.0,186.00000000000003,742.0,212.0,702.0,214.0,686.0,278.0,686.0,342.0,784.0,212.0,804.0,278.0,794.0,282.0,712.0,326.0,688.0,434.0,668.0,522.0,760.0,326.0,760.0,430.0,758.0,514.0
2,732.0,190.0,738.0,212.0,698.0,216.0,682.0,276.0,684.0,338.0,780.0,212.0,800.0,278.0,782.0,284.0,712.0,324.0,688.0,434.0,668.0,522.0,758.0,328.0,758.0,428.0,758.0,514.0
3,728.0,190.0,734.0,214.0,694.0,216.0,678.0,278.0,680.0,338.0,778.0,214.0,792.0,278.0,778.0,284.0,708.0,324.0,688.0,435.99999999999994,668.0,524.0,758.0,330.0,758.0,428.0,758.0,514.0
4,724.0,190.0,730.0,214.0,690.0,216.0,674.0,278.0,678.0,338.0,772.0,214.0,784.0,280.0,764.0,282.0,706.0,324.0,686.0,437.99999999999994,672.0,524.0,754.0,328.0,756.0,430.0,758.0,514.0
5,718.0,190.0,726.0,214.0,684.0,216.0,670.0,278.0,676.0,338.0,768.0,214.0,776.0,282.0,758.0,284.0,700.0,324.0,684.0,437.99999999999994,672.0,524.0,750.0,326.0,754.0,430.0,756.0,514.0
6,712.0,192.0,720.0,214.0,680.0,216.0,664.0,280.0,670.0,338.0,762.0,216.0,770.0,282.0,750.0,282.0,698.0,326.0,682.0,437.99999999999994,672.0,524.0,746.0,324.0,750.0,432.0,758.0,514.0
7,706.0,192.0,716.0,214.0,674.0,217.99999999999997,660.0,280.0,666.0,338.0,756.0,216.0,764.0,282.0,744.0,282.0,690.0,324.0,678.0,440.00000000000006,672.0,526.0,742.0,322.0,748.0,430.0,758.0,514.0
8,700.0,190.0,710.0,216.0,668.0,220.00000000000003,656.0,282.0,660.0,330.0,752.0,216.0,758.0,282.0,738.0,282.0,686.0,324.0,676.0,442.0,672.0,526.0,736.0,320.0,746.0,428.0,758.0,514.0
9,696.0,192.0,704.0,214.0,662.0,220.00000000000003,650.0,280.0,654.0,332.0,746.0,216.0,752.0,284.0,730.0,282.0,682.0,324.0,672.0,440.00000000000006,672.0,526.0,732.0,324.0,746.0,430.0,758.0,514.0
10,688.0,190.0,698.0,216.0,656.0,220.00000000000003,646.0,280.0,648.0,328.0,740.0,216.0,748.0,282.0,726.0,280.0,676.0,326.0,670.0,435.99999999999994,672.0,524.0,728.0,328.0,744.0,424.0,758.0,512.0
11,682.0,192.0,694.0,216.0,652.0,222.0,640.0,284.0,644.0,334.0,734.0,216.0,742.0,282.0,718.0,280.0,672.0,324.0,668.0,444.0,672.0,524.0,722.0,322.0,742.0,424.0,758.0,510.0
12,678.0,190.0,688.0,214.0,646.0,222.0,634.0,282.0,638.0,332.0,730.0,216.0,738.0,286.0,714.0,278.0,668.0,326.0,666.0,440.00000000000006,672.0,526.0,722.0,326.0,740.0,415.99999999999994,758.0,508.00000000000006
13,674.0,190.0,684.0,214.0,642.0,222.0,632.0,284.0,632.0,332.0,726.0,216.0,732.0,284.0,710.0,278.0,664.0,326.0,666.0,435.99999999999994,672.0,524.0,718.0,328.0,736.0,410.0,756.0,508.00000000000006
14,670.0,188.0,680.0,214.0,640.0,222.0,626.0,284.0,628.0,338.0,722.0,216.0,728.0,286.0,704.0,280.0,660.0,328.0,664.0,430.0,672.0,526.0,714.0,326.0,734.0,422.0,752.0,510.0
15,666.0,184.0,678.0,216.0,636.0,222.0,624.0,286.0,624.0,336.0,718.0,216.0,726.0,286.0,702.0,280.0,658.0,330.0,662.0,428.0,670.0,524.0,712.0,328.0,730.0,424.0,750.0,516.0
16,664.0,184.0,674.0,216.0,632.0,222.0,620.0,284.0,620.0,340.0,716.0,216.0,724.0,286.0,702.0,280.0,656.0,334.0,662.0,434.0,672.0,524.0,710.0,328.0,724.0,426.0,744.0,520.0
17,662.0,182.0,672.0,216.0,630.0,222.0,616.0,286.0,616.0,340.0,712.0,216.0,722.0,288.0,700.0,280.0,656.0,334.0,662.0,432.0,672.0,526.0,708.0,332.0,718.0,426.0,736.0,524.0
18,660.0,180.0,670.0,216.0,628.0,222.0,614.0,290.0,614.0,340.0,710.0,216.0,718.0,288.0,700.0,284.0,652.0,334.0,660.0,434.0,670.0,524.0,704.0,332.0,712.0,424.0,730.0,530.0
19,660.0,180.0,668.0,216.0,626.0,222.0,614.0,288.0,610.0,344.0,708.0,216.0,718.0,288.0,694.0,282.0,648.0,334.0,658.0,428.0,670.0,522.0,702.0,336.0,706.0,426.0,718.0,532.0
20,660.0,180.0,668.0,217.99999999999997,624.0,222.0,612.0,290.0,608.0,342.0,706.0,217.99999999999997,716.0,288.0,694.0,282.0,648.0,336.0,658.0,432.0,672.0,522.0,698.0,336.0,700.0,428.0,704.0,532.0
