,nose_x,nose_y,neck_x,neck_y,r_shoulder_x,r_shoulder_y,r_elbow_x,r_elbow_y,r_wrist_x,r_wrist_y,l_shoulder_x,l_shoulder_y,l_elbow_x,l_elbow_y,l_wrist_x,l_wrist_y,r_hip_x,r_hip_y,r_knee_x,r_knee_y,r_ankle_x,r_ankle_y,l_hip_x,l_hip_y,l_knee_x,l_knee_y,l_ankle_x,l_ankle_y
0,736.0,184.0,744.0,210.0,704.0,214.0,690.0,278.0,686.0,344.0,786.0,212.0,808.0,274.0,804.0,282.0,714.0,324.0,688.0,435.99999999999994,672.0,520.0,762.0,324.0,760.0,428.0,758.0,514.0
1,734.0,186.00000000000003,742.0,212.0,702.0,214.0,686.0,278.0,686.0,340.0,784.0,212.0,804.0,278.0,792.0,280.0,714.0,322.0,688.0,435.99999999999994,670.0,522.0,760.0,322.0,760.0,426.0,758.0,514.0
2,730.0,188.0,740.0,212.0,698.0,216.0,684.0,278.0,682.0,338.0,780.0,212.0,800.0,278.0,782.0,284.0,710.0,324.0,688.0,434.0,666.0,524.0,758.0,328.0,760.0,428.0,758.0,514.0
3,730.0,188.0,740.0,212.0,698.0,216.0,684.0,278.0,684.0,338.0,780.0,212.0,800.0,278.0,782.0,284.0,710.0,324.0,688.0,435.99999999999994,666.0,524.0,758.0,328.0,758.0,428.0,758.0,514.0
4,728.0,190.0,734.0,212.0,694.0,216.0,680.0,278.0,680.0,336.0,776.0,214.0,792.0,278.0,776.0,284.0,708.0,324.0,688.0,435.99999999999994,670.0,524.0,758.0,332.0,758.0,426.0,758.0,514.0
5,722.0,190.0,730.0,214.0,690.0,216.0,676.0,278.0,678.0,336.0,772.0,214.0,784.0,280.0,766.0,284.0,708.0,322.0,686.0,440.00000000000006,670.0,524.0,754.0,330.0,756.0,426.0,756.0,514.0
6,718.0,192.0,726.0,214.0,684.0,216.0,670.0,278.0,676.0,338.0,768.0,214.0,776.0,284.0,758.0,284.0,700.0,322.0,684.0,440.00000000000006,670.0,526.0,750.0,324.0,754.0,428.0,756.0,514.0
7,712.0,192.0,720.0,214.0,680.0,217.99999999999997,666.0,280.0,670.0,338.0,762.0,216.0,770.0,282.0,750.0,284.0,698.0,324.0,682.0,437.99999999999994,670.0,526.0,748.0,324.0,750.0,430.0,758.0,514.0
8,706.0,192.0,714.0,214.0,672.0,220.00000000000003,660.0,280.0,666.0,336.0,758.0,216.0,766.0,280.0,744.0,282.0,692.0,324.0,678.0,440.00000000000006,670.0,526.0,742.0,322.0,748.0,430.0,758.0,514.0
9,706.0,192.0,714.0,214.0,672.0,220.00000000000003,660.0,280.0,666.0,338.0,758.0,216.0,766.0,280.0,744.0,282.0,692.0,324.0,678.0,437.99999999999994,672.0,526.0,742.0,324.0,748.0,430.0,758.0,514.0
10,700.0,190.0,708.0,214.0,668.0,220.00000000000003,656.0,284.0,662.0,334.0,752.0,216.0,758.0,280.0,736.0,282.0,686.0,322.0,676.0,446.0,672.0,526.0,736.0,322.0,746.0,430.0,758.0,514.0
11,696.0,192.0,702.0,216.0,660.0,222.0,650.0,280.0,656.0,332.0,746.0,216.0,754.0,282.0,732.0,282.0,682.0,324.0,672.0,437.99999999999994,672.0,526.0,732.0,322.0,744.0,430.0,758.0,514.0
12,688.0,192.0,698.0,214.0,656.0,222.0,646.0,282.0,648.0,328.0,740.0,216.0,748.0,280.0,726.0,280.0,676.0,324.0,670.0,435.99999999999994,672.0,526.0,728.0,322.0,744.0,428.0,758.0,514.0
13,682.0,192.0,694.0,216.0,650.0,222.0,640.0,284.0,644.0,336.0,734.0,216.0,742.0,282.0,718.0,280.0,672.0,324.0,668.0,446.0,670.0,526.0,722.0,320.0,744.0,424.0,758.0,512.0
14,680.0,190.0,688.0,214.0,646.0,224.0,634.0,282.0,638.0,330.0,730.0,216.0,740.0,284.0,718.0,280.0,668.0,324.0,666.0,437.99999999999994,672.0,526.0,720.0,322.0,740.0,422.0,758.0,512.0
